ID,Item,Product Information,Current Stock,Selling Price,Expiry Date
GH-000121,BEBE MAMA B/S 275ML,"Specially studied to keep beautiful hair and avoid skin dryness, pomade BEBE & MAMA, enriched with nutritive elements, is recommended for baby's sensitive skin against all irritations. In daily use, it gives a smooth and beautiful shiny hair",1,GHC15.00,09-2022
GH-000122,BEBE MAMA S/S 125ML,"Specially studied to keep beautiful hair and avoid skin dryness, pomade BEBE & MAMA, enriched with nutritive elements, is recommended for baby's sensitive skin against all irritations. In daily use, it gives a smooth and beautiful shiny hair",1,GHC11.00,09-2023
GH-000124,PASSION POWDER-200g,Passion talcum powder remains the No.1 powder brand in Nigeria today. It is used by consumers with various skin types and is suitable for any kind of weather. ,1,GHC15.00,06-2022
GH-000126,MY DEAR  BODY MIST 75ML PERFUME (SUMMER FRESHES),"Handy, Long Lasting Fragrance, Leak Proof, Unique package, ",1,GHC18.00,NA
GH-000129,RICH & PURE BODY LOTION 250ML,"Rich and Pure Clarifying lotion nourishes, moisturizes and revitalizes skin. It provides a radiant tone without irritating it.",1,GHC22.00,11-2022
GH-000136,PERFECT GOLD DAY CREME 60g,"A nurturing day cream that rehydrates, re-cushions and re-activates skin
Unveils firmer, smoother, plumper, more comfortable & younger looking skin
Apply mornings daily to cleansed face and neck, avoiding the eye contour area
Apply with circular motions to allow better absorption",1,GHC38.00,09-2024
GH-000137,PERFECT GOLD NIGHT CREME 60G,"L'Oréal Paris Age Perfect Golden Age Night Cream is concentrated in Neo-Calcium, which encourages the repair of the skin's barrier whilst you sleep. The morning after, skin is visibly fresh, rested and perfectly hydrated. Night after night, the skin gradually regains density and facial contours are visibly re-defined.",1,GHC38.00,09-2024
GH-000138,UB HAIR RELAXER 450ML,"Universal Basic Relaxer is permanent Cream relaxer that help to relax hair efficiently. It works perfectly well on hair and help to achieve a relax hair with ease. It is enriched with argan oil to nourish your hair and keep it healthy. After using this products, your hair is bouncy, soft and very easy to manipulate.",2,GHC14.00,12-2023
GH-000140,OPTIMAL RELAXER M/S 300ML,Optimal relaxer contains a conditioning system with active fruits concentrate and shea butter. Optimal gives you ultra soft silky hair. ,2,GHC18.00,02-2024
GH-000141,7 17 KID RELAXER 233ML,"Soft for children, teenage girls and adult hair. Dazzling by its cream made with the richest ingredients: vitamins and keratin, gently softens and relaxes crispy and curly.",1,GHC11.00,09-2023
